,Population,Income,Illiteracy,Life Exp,Murder,HS Grad,Frost,Area,rand1,rand2,rand4,rand5,rand6
Alabama,3615,3624,2.1,69.05,15.1,41.3,20,50708,3.21000383002684,502,30.0176965592406,6043.73223489018,316.627154071453
Alaska,365,6315,1.5,69.31,11.3,66.7,152,566432,9.82061004033312,793,87.8919938288521,12802.5197892597,392.120396254778
Arizona,2212,4530,1.8,70.55,7.8,58.1,15,113417,1.82493918575346,801,85.7403533904951,5045.87092678544,626.017890914731
Arkansas,2110,3378,1.9,70.66,10.1,39.9,65,51945,6.03043932467699,126,78.8280664464205,4301.09263926298,477.010931847641
California,21198,5114,1.1,71.71,10.3,62.6,20,156361,2.51141239190474,130,72.4474025343316,3836.98193055259,795.202871407004
Colorado,2541,4884,0.7,72.06,6.8,63.9,166,103766,4.83905582688749,269,71.9783678835383,6059.80314312568,497.55923904259
Connecticut,3100,5348,1.1,72.48,3.1,56,139,4862,9.70429392531514,964,89.6564417656665,6779.84403161818,352.929640241924
Delaware,579,4809,0.9,70.06,6.2,54.6,103,1982,8.44130048993975,386,65.586482441339,7348.94592888919,337.035980168043
Florida,8277,4815,1.3,70.66,10.7,52.6,11,54090,4.65910216793418,686,90.8210774409959,8959.21578731437,463.815669119277
Georgia,4931,4091,2,68.54,13.9,40.6,60,58073,7.72607019171119,936,57.33934157421,5010.56580665563,474.766359823599
Hawaii,868,4963,1.9,73.6,6.2,61.9,0,6425,7.6826280890964,557,45.1980866534424,6760.13222138386,722.73217594969
Idaho,813,4119,0.6,71.87,5.3,59.5,126,82677,7.84674644935876,524,97.5133524824117,4548.3786592057,560.706872645205
Illinois,11197,5107,0.9,70.14,10.3,52.6,127,55748,7.84547400427982,137,82.5994297948187,7698.21775609348,512.62805658671
Indiana,5313,4458,0.7,70.88,7.1,52.9,122,36097,8.13584196381271,575,66.7517902619579,6324.48973011017,554.482113309132
Iowa,2861,4628,0.5,72.56,2.3,59,140,55941,8.92807461554185,810,66.2587894201397,3643.08495797708,440.994939650763
Kansas,2280,4669,0.6,72.58,4.5,59.9,114,81787,0.0740057555958629,733,87.4480821755114,8912.2274322072,588.25398121776
Kentucky,3387,3712,1.6,70.1,10.6,38.5,95,39650,6.15064611658454,211,90.6890079330128,6840.95965230464,469.799507211922
Louisiana,3806,3545,2.8,68.76,13.2,42.2,12,44930,1.02456992026418,12,128.717897561867,4689.09869317387,571.506871148217
Maine,1058,3694,0.7,70.39,2.7,54.7,161,30920,0.730233767535537,153,88.3940264786513,5520.594059067,479.624463522747
Maryland,4122,5299,0.9,70.22,8.5,52.3,101,9891,4.90909755695611,445,59.1917328517712,6622.87187823327,652.20636737896
Massachusetts,5814,4755,1.1,71.83,3.3,58.5,103,7826,6.38058564858511,638,69.1672894115081,7479.01994859483,417.355453965547
Michigan,9111,4751,0.9,70.63,11.1,52.8,125,56817,2.15386988362297,922,76.734857845873,6303.85695353174,431.585544833455
Minnesota,3921,4675,0.6,72.96,2.3,57.6,160,79289,2.62612401274964,505,61.6554083902063,10371.3345173005,493.984000922037
Mississippi,2341,3098,2.4,68.09,12.5,41,50,47296,7.18431675573811,614,70.6455035591476,4554.05021651034,517.076805130752
Missouri,4767,4254,0.8,70.69,9.3,48.8,108,68995,9.64342123363167,199,59.5779890873625,6932.24768522668,360.744596514373
Montana,746,4347,0.6,70.56,5,59.2,155,145587,3.06348249781877,875,123.884827193274,7683.48658468673,493.623137477242
Nebraska,1544,4508,0.6,72.6,2.9,59.3,139,76483,3.9354913844727,383,97.2577486465382,6843.31115305618,637.149021280621
Nevada,590,5149,0.5,69.03,11.5,65.2,188,109889,4.27649070275947,978,109.321730053807,8253.53653692692,515.184328954746
New Hampshire,812,4281,0.7,71.23,3.3,57.6,174,9027,5.6648162426427,67,79.4134133522328,4408.36335227798,1063.16826998763
New Jersey,7333,5237,1.1,70.93,5.2,52.5,115,7521,7.56927350535989,43,106.845502272414,6776.0247522954,629.137213591002
New Mexico,1144,3601,2.2,70.32,9.7,55.2,120,121412,0.885796439833939,363,95.2558028984068,3970.79081167728,490.507561788752
New York,18076,4903,1.4,70.55,10.9,52.7,82,47831,5.46022394904867,624,18.3151619813615,4361.47065367063,682.99605752392
North Carolina,5441,3875,1.8,69.21,11.1,38.5,80,48798,8.98621446685866,603,41.2214765406109,3648.71891815358,342.586630699851
North Dakota,637,5087,0.8,72.78,1.4,50.3,186,69273,4.64790399884805,26,88.8922884141105,14345.7915620867,588.749457805247
Ohio,10735,4561,0.8,70.82,7.4,53.2,124,40975,6.98129446012899,756,103.180379416331,4594.00253679243,930.436866083514
Oklahoma,2715,3983,1.1,71.42,6.4,51.6,82,68782,2.76510074269027,727,98.935040348784,5624.00045010214,213.550112834522
Oregon,2284,4660,0.6,72.13,4.2,60,44,96184,6.22238300507888,322,85.0530424982808,10542.7175424855,505.73648923424
Pennsylvania,11860,4449,1,70.43,6.1,50.2,126,44966,3.78403474809602,157,49.5729496151043,26658.0290588388,664.810098341959
Rhode Island,931,4558,1.3,71.9,2.4,46.4,127,1049,6.67574640829116,820,58.7184379398474,5479.7162810594,547.19208984743
South Carolina,2816,3635,2.3,67.96,11.6,37.8,65,30225,3.12065299833193,688,56.5912614047036,3283.08664710137,358.550808848242
South Dakota,681,4167,0.5,72.08,1.7,53.3,172,75955,3.84632265660912,694,64.1704135057506,5878.36620303341,874.433170446407
Tennessee,4173,3821,1.7,70.11,11,41.8,70,41328,9.64144472964108,128,60.1002332057193,3215.50457147514,335.484369924979
Texas,12237,4188,2.2,70.9,12.2,47.4,35,262134,9.48799875332043,197,88.1105587423225,5025.61911212915,410.185112803178
Utah,1203,4022,0.6,72.9,4.5,67.3,137,82096,9.7231280291453,452,97.2984656374959,8446.18311012068,456.688257349256
Vermont,472,3907,0.6,71.64,5.5,57.1,168,9267,0.610459430608898,150,70.9359820210836,3323.13269355399,511.071606951614
Virginia,4981,4701,1.4,70.08,9.5,47.8,85,39780,4.1992626292631,971,80.8234817507151,13902.4817903751,665.704945269483
Washington,3559,4864,0.6,71.72,4.3,63.5,32,66570,6.93965797312558,401,40.8291826654848,6506.86793153305,376.490130797205
West Virginia,1799,3617,1.4,69.48,6.7,41.6,100,24070,4.09399717347696,856,77.3010764140691,6042.91614872028,450.591588379468
Wisconsin,4589,4468,0.7,72.48,3,54.5,149,54464,1.76521200919524,901,70.5751404432358,4631.9135483616,350.188100383376
Wyoming,376,4566,0.6,70.29,6.9,62.9,173,97203,4.07674402697012,87,43.7093474369,18954.0752303644,327.654226001498
