x,y,z
3.1e-05,0.000183,0.000824
0.044495,0.155732,0.533939
0.82244,0.873416,0.838542
0.322291,0.648545,0.990648
0.393595,0.826873,0.418881
0.309097,0.92659,0.777664
0.826368,0.30854,0.413932
0.729424,0.741526,0.884338
0.317649,0.393468,0.501968
0.599793,0.846041,0.678107
0.647603,0.281525,0.860718
0.547048,0.94879,0.769314
0.529873,0.348011,0.319211
0.90804,0.013456,0.90838
0.835195,0.814513,0.370327
0.068696,0.275943,0.037394
0.984329,0.927687,0.707165
0.945783,0.689675,0.626002
0.017137,0.166494,0.844727
0.772506,0.282393,0.741801
0.49308,0.943686,0.224398
0.919386,0.618783,0.438229
0.964342,0.025198,0.47211
0.864672,0.711721,0.488282
0.786249,0.961377,0.692023
0.123862,0.810826,0.750198
0.990535,0.706806,0.326013
0.455714,0.020492,0.021528
0.345516,0.800801,0.695158
0.482433,0.160464,0.620887
0.0631,0.488463,0.36288
0.494563,0.180498,0.631916
0.386052,0.482467,0.420333
0.156384,0.276557,0.251881
0.99985,0.198618,0.193051
0.585455,0.129442,0.507559
0.361887,0.743469,0.203826
0.350248,0.897698,0.233957
0.126752,0.190162,0.000203
0.812634,0.245063,0.156666
0.369723,0.248908,0.165943
0.437286,0.268675,0.676477
0.771568,0.821389,0.984216
0.697878,0.217688,0.025225
0.826174,0.623633,0.306233
0.530293,0.852871,0.344595
0.968455,0.569763,0.702484
0.415824,0.696233,0.434983
0.793458,0.429293,0.434638
0.622709,0.75561,0.929275
0.748484,0.903503,0.684661
0.392119,0.082637,0.966753
0.32851,0.211696,0.313584
0.425048,0.233427,0.575129
0.391111,0.035974,0.695843
0.409372,0.849729,0.414026
0.230546,0.743487,0.386009
0.021631,0.664288,0.791052
0.011576,0.687896,0.023192
0.345928,0.75754,0.431892
0.562056,0.587138,0.464327
0.47264,0.353742,0.868689
0.859244,0.982364,0.16099
0.672445,0.343048,0.006286
0.31824,0.103248,0.75533
0.486482,0.552006,0.933698
0.701881,0.597679,0.269141
0.831292,0.05836,0.868532
0.619876,0.029152,0.596032
0.287463,0.057,0.754833
0.670872,0.302992,0.7801
0.623757,0.432338,0.98021
0.804632,0.752854,0.275437
0.803778,0.778307,0.435841
0.94237,0.001763,0.529245
0.730063,0.630651,0.213333
0.79181,0.407259,0.317265
0.300808,0.637073,0.115167
0.629387,0.408029,0.783687
0.487203,0.789276,0.350829
0.09553,0.909727,0.598596
0.584738,0.176853,0.798474
0.259822,0.480486,0.544515
0.049581,0.49643,0.532351
0.861351,0.071937,0.679465
0.901482,0.260386,0.448975
0.215425,0.739384,0.49748
0.057474,0.797941,0.27038
0.301331,0.90506,0.718384
0.655918,0.227307,0.460576
0.5067,0.591236,0.987116
0.938298,0.101057,0.16166
0.90252,0.245249,0.348813
0.076441,0.887802,0.638839
0.258743,0.786332,0.389299
0.96569,0.35169,0.418931
0.783897,0.824439,0.89156
0.949827,0.727198,0.814741
0.283024,0.134077,0.257241
0.201405,0.860104,0.347981
0.576739,0.911462,0.278116
0.551408,0.696489,0.216269
0.110096,0.601132,0.615928
0.44502,0.150031,0.895009
0.203431,0.64847,0.059942
0.895558,0.963804,0.722801
0.858251,0.917374,0.779985
0.316456,0.206234,0.389302
0.929709,0.207676,0.878674
0.431499,0.001802,0.127325
0.313108,0.814661,0.06999
0.596309,0.4955,0.606222
0.065349,0.893404,0.772282
0.309409,0.386023,0.53145
0.593143,0.023418,0.802219
0.948994,0.136076,0.275507
0.688282,0.314449,0.692158
0.341853,0.679153,0.998243
0.776151,0.15203,0.926825
0.153704,0.590536,0.159884
0.767158,0.75176,0.606141
0.785514,0.776249,0.587872
0.861648,0.57405,0.689467
0.968176,0.257096,0.828997
0.057338,0.846421,0.562486
0.068251,0.085886,0.901061
0.444216,0.448217,0.691361
0.750276,0.334354,0.253643
0.145329,0.732954,0.089762
0.586459,0.922249,0.255363
0.472772,0.996288,0.722781
0.962394,0.334478,0.345322
0.016658,0.742936,0.307697
0.697745,0.483157,0.61924
0.470791,0.163685,0.744991
0.683648,0.619823,0.566103
0.522175,0.80392,0.123949
0.033916,0.789033,0.428958
0.592453,0.787949,0.395616
0.254907,0.337993,0.733798
0.117803,0.658675,0.891827
0.25928,0.957802,0.413294
0.889736,0.400012,0.39245
0.181619,0.130337,0.14745
0.25272,0.029737,0.903937
0.399261,0.190735,0.551055
0.16544,0.783277,0.210702
0.41946,0.988879,0.158136
0.780983,0.854271,0.09678
0.864323,0.844219,0.286411
0.787156,0.415515,0.408684
0.167788,0.636694,0.310077
0.771582,0.714252,0.341272
0.294206,0.962482,0.12704
0.837164,0.918567,0.976924
0.295912,0.806713,0.177067
0.091939,0.586944,0.694211
0.347482,0.646237,0.750083
0.973278,0.640872,0.085731
0.527179,0.79397,0.019209
0.139841,0.040708,0.985681
0.561416,0.632276,0.740914
0.375616,0.497789,0.606191
0.505862,0.656287,0.384968
0.098811,0.001116,0.117391
0.407139,0.458995,0.089724
0.154323,0.194751,0.779596
0.871869,0.438392,0.78353
0.091918,0.212369,0.446952
0.66514,0.592862,0.570913
0.593219,0.958214,0.410318
0.468268,0.794482,0.552483
0.609019,0.519044,0.633091
0.246066,0.890815,0.130301
0.604387,0.899433,0.957119
0.80661,0.384215,0.045802
0.582449,0.09314,0.316805
0.581833,0.773607,0.40514
0.768705,0.13604,0.897895
0.91508,0.417145,0.267152
0.486134,0.731443,0.01345
0.712057,0.485078,0.501955
0.337308,0.796438,0.74286
0.694452,0.720595,0.073498
0.833158,0.348199,0.590769
0.190784,0.812374,0.157183
0.56899,0.032013,0.071166
0.90686,0.705962,0.074034
0.446754,0.788106,0.707856
0.93855,0.642097,0.405631
0.778547,0.162147,0.965964
0.922376,0.608467,0.34942
0.879737,0.084615,0.590057
0.164737,0.727397,0.881746
0.471049,0.077057,0.2229
0.348409,0.375336,0.116333
0.357379,0.288538,0.514816
0.485254,0.040997,0.878697
0.937061,0.023432,0.707045
0.666909,0.577419,0.462329
0.618715,0.99198,0.383442
0.36052,0.089157,0.290269
0.68379,0.897896,0.233271
0.00439,0.719255,0.276022
0.031289,0.672573,0.753833
0.978769,0.561583,0.560572
0.077178,0.173276,0.345054
0.159757,0.322564,0.497568
0.354338,0.983029,0.709126
0.709664,0.692256,0.766557
0.569929,0.582682,0.366728
0.014955,0.158178,0.814469
0.525414,0.111002,0.937284
0.253219,0.70622,0.958351
0.890473,0.686402,0.104159
0.453425,0.001418,0.927685
0.845441,0.334265,0.396624
0.609038,0.72729,0.882402
0.567867,0.446613,0.568873
0.91137,0.285899,0.513061
0.937211,0.896198,0.942288
0.990868,0.521708,0.212432
0.16764,0.934895,0.100615
0.686843,0.030776,0.003063
0.852322,0.326589,0.288634
0.811463,0.452729,0.413211
0.613563,0.297567,0.263338
0.131638,0.416429,0.31383
0.701542,0.332744,0.682588
0.862754,0.021153,0.362135
0.97037,0.10383,0.889644
0.850995,0.383583,0.64254
0.183622,0.385918,0.662911
0.816344,0.366787,0.853626
0.062409,0.201722,0.648653
0.036126,0.630868,0.460078
0.387542,0.12805,0.280421
0.169305,0.105847,0.111334
0.303227,0.206892,0.512309
0.054538,0.385813,0.824036
0.243194,0.723816,0.154143
0.760294,0.8793,0.433157
0.111106,0.74918,0.495129
0.423188,0.324282,0.137001
0.995503,0.282988,0.738398
0.980973,0.987139,0.094077
0.285519,0.602009,0.042384
0.289431,0.013343,0.475179
0.076984,0.478115,0.17583
0.807755,0.4836,0.631798
0.719538,0.819595,0.441726
0.544794,0.252577,0.612313
0.753742,0.482508,0.111374
0.778851,0.108312,0.640212
0.823174,0.006967,0.633237
0.696558,0.688824,0.863928
0.9199,0.353543,0.842153
0.041631,0.428389,0.195659
0.03265,0.847797,0.792934
0.62215,0.079371,0.876876
0.415478,0.98627,0.178324
0.595303,0.566457,0.041016
0.780619,0.015045,0.064698
0.331354,0.578564,0.489201
0.242692,0.762346,0.389852
0.853902,0.889618,0.652587
0.302318,0.589417,0.815645
0.861326,0.422875,0.785317
0.055708,0.019265,0.614222
0.654588,0.034351,0.314814
0.652651,0.110633,0.789938
0.42943,0.389394,0.471495
0.298822,0.464916,0.100099
0.83626,0.642355,0.327792
0.309226,0.386511,0.536028
0.96888,0.402763,0.696662
0.368081,0.66244,0.661911
0.513483,0.182326,0.472607
0.736313,0.184859,0.482342
0.172198,0.665549,0.443517
0.171344,0.710412,0.720379
0.170726,0.232668,0.859474
0.284745,0.933185,0.036403
0.167483,0.687051,0.614955
0.461775,0.243325,0.303981
0.701912,0.600151,0.283698
0.802767,0.551215,0.082387
0.952495,0.585544,0.940804
0.319777,0.877392,0.386357
0.52028,0.649494,0.214444
0.332802,0.541224,0.252119
0.711546,0.038967,0.829882
0.158367,0.226658,0.934643
0.863566,0.218901,0.541315
0.269175,0.461181,0.344511
0.140211,0.259041,0.292351
0.62698,0.614429,0.043756
0.419483,0.496517,0.203753
0.351759,0.905709,0.268427
0.902842,0.36383,0.057402
0.788715,0.605007,0.531603
0.396531,0.232836,0.828238
0.870567,0.119851,0.883996
0.347908,0.523734,0.011235
0.946024,0.480742,0.370236
0.165103,0.66404,0.498314
0.456284,0.370651,0.117356
0.606132,0.255925,0.080367
0.489827,0.789398,0.32794
0.593914,0.521274,0.78242
0.831722,0.201555,0.723837
0.196452,0.242217,0.68524
0.147074,0.086822,0.197263
0.20674,0.500864,0.14453
0.899231,0.69461,0.074585
0.26479,0.045376,0.889149
0.001739,0.999939,0.983978
0.284465,0.570467,0.862617
0.539036,0.86549,0.341617
0.580633,0.098863,0.367481
0.664257,0.73505,0.431987
0.037451,0.486162,0.579916
0.493513,0.316322,0.456322
0.416429,0.345021,0.322264
0.96439,0.156445,0.259161
0.973205,0.895476,0.61401
0.712404,0.271338,0.216388
0.434793,0.896695,0.467031
0.54254,0.56033,0.479117
0.584376,0.401351,0.148725
0.533974,0.120324,0.916178
0.708526,0.097289,0.206997
0.714495,0.269064,0.183931
0.482048,0.962044,0.433832
0.077093,0.594896,0.875538
0.998449,0.354264,0.139545
0.984607,0.17071,0.162795
0.099361,0.00197,0.117574
0.219269,0.702578,0.242041
0.414045,0.121073,2.9e-05
0.582422,0.328899,0.731601
0.090429,0.608475,0.836991
0.535613,0.543698,0.441672
0.581919,0.402526,0.177886
0.397729,0.788006,0.148473
0.549584,0.189554,0.191069
0.573737,0.136097,0.65295
0.447064,0.158607,0.92806
0.689066,0.698637,0.99023
0.175925,0.967504,0.221694
0.839597,0.372643,0.679484
0.831947,0.981712,0.402746
0.940644,0.888431,0.864786
0.508181,0.683509,0.527427
0.869272,0.236571,0.595973
0.878399,0.422338,0.628435
0.242726,0.003171,0.834495
0.354886,0.888175,0.135077
0.761675,0.399618,0.542634
0.497327,0.338204,0.553278
0.570429,0.343214,0.925426
0.544869,0.192988,0.254105
0.547206,0.327989,0.043078
0.95123,0.641805,0.289766
0.335976,0.520226,0.097574
0.123054,0.857719,0.038824
0.767345,0.021121,0.220619
0.69453,0.821414,0.677714
0.589375,0.059233,0.05102
0.116573,0.088764,0.483424
0.640176,0.508267,0.288014
0.596723,0.610511,0.292563
0.242544,0.070984,0.243013
0.996192,0.423421,0.574797
0.186854,0.22789,0.685654
0.673327,0.180656,0.023994
0.691865,0.119631,0.491003
0.958049,0.575105,0.828191
0.694005,0.414871,0.243179
0.449659,0.232798,0.349853
0.214184,0.41071,0.536605
0.150706,0.114502,0.330657
0.887069,0.620527,0.739542
0.082414,0.36202,0.43039
0.511244,0.424449,0.945496
0.97251,0.361654,0.417328
0.189574,0.490444,0.2365
0.364059,0.070724,0.147809
0.777554,0.119375,0.718263
0.564273,0.863991,0.105492
0.443353,0.925122,0.560552
0.73504,0.805249,0.216132
0.6667,0.831245,0.987175
0.622253,0.835295,0.411495
0.464697,0.748429,0.308307
0.428804,0.390935,0.486373
0.531088,0.992282,0.173898
0.656463,0.930601,0.67544
0.811441,0.008876,0.750293
0.874628,0.240614,0.57203
